epoch, train_loss, val_loss, val_sic_r2, val_sod_f1, val_floe_f1, val_combined, time 
0, 5.372871398925781, 4.404548168182373, 58.173, 75.877, 73.779, 68.376, 842.850159100024
1, 4.408931255340576, 4.119384288787842, 56.942, 80.938, 76.903, 70.533, 1609.3728575000423
epoch, train_loss, val_loss, val_sic_r2, val_sod_f1, val_floe_f1, val_combined, time 
0, 5.372762203216553, 4.404288291931152, 58.207, 75.854, 73.769, 68.378, 802.3880746000214
1, 4.408677101135254, 4.12076473236084, 56.841, 80.941, 76.958, 70.504, 1557.0629320999724
2, 4.103794097900391, 3.930699586868286, 66.236, 82.794, 83.229, 76.258, 2314.9291244000196
3, 3.8999440670013428, 3.765511989593506, 79.712, 83.44, 87.704, 82.802, 3075.2444135000114
4, 3.7847814559936523, 3.71628999710083, 79.034, 83.29, 87.98, 82.526, 3831.7650772000197
5, 3.6832234859466553, 3.6810054779052734, 79.015, 83.81, 87.95, 82.72, 4591.579201899993
6, 3.57700252532959, 3.7276649475097656, 75.029, 82.941, 87.993, 80.787, 5346.794557999994
7, 3.5126149654388428, 3.6376194953918457, 75.917, 84.891, 86.944, 81.712, 6103.218416700023
8, 3.46439266204834, 3.546973466873169, 78.633, 84.479, 86.342, 82.513, 6864.352494199993
9, 3.3536243438720703, 3.5188281536102295, 76.947, 85.617, 86.971, 82.42, 7624.687199999986
10, 3.329465627670288, 3.464380979537964, 78.781, 85.664, 86.538, 83.086, 8384.8199839
11, 3.2805511951446533, 3.5204269886016846, 77.869, 85.035, 86.592, 82.48, 9140.706811100012
12, 3.2574398517608643, 3.5061187744140625, 82.442, 87.606, 86.817, 85.383, 9895.984371599974
13, 3.221879482269287, 3.501124143600464, 82.893, 88.79, 87.167, 86.107, 10657.275820099982
14, 3.18383526802063, 3.465346097946167, 84.008, 88.423, 86.065, 86.185, 11408.721003099985
15, 3.1348259449005127, 3.3863768577575684, 83.108, 87.625, 85.562, 85.406, 12165.49687730003
16, 3.1292614936828613, 3.383392810821533, 84.592, 89.608, 85.324, 86.745, 12919.66342679999
17, 3.1004812717437744, 3.3889355659484863, 84.018, 89.152, 85.913, 86.451, 13672.13608929998
18, 3.0691587924957275, 3.368298053741455, 84.734, 89.23, 85.564, 86.698, 14421.466845899995
19, 3.0584096908569336, 3.3967278003692627, 84.624, 89.789, 85.96, 86.957, 15173.255803500011
20, 3.02628493309021, 3.3878231048583984, 84.684, 88.876, 85.39, 86.502, 15921.370170900016
21, 2.991597890853882, 3.431931972503662, 84.559, 88.763, 85.258, 86.38, 16673.427187499998
22, 2.9967057704925537, 3.302978515625, 85.469, 89.025, 85.941, 86.986, 17430.627716100018
23, 2.981027841567993, 3.3116512298583984, 85.487, 88.965, 84.963, 86.773, 18190.428374600015
24, 2.941861391067505, 3.3146724700927734, 83.639, 89.416, 85.133, 86.249, 18937.054099600005
25, 2.9225025177001953, 3.3110287189483643, 83.921, 87.92, 85.241, 85.785, 19690.957518599986
26, 2.932020664215088, 3.335920810699463, 84.342, 88.579, 85.254, 86.219, 20446.27828159998
27, 2.8868319988250732, 3.3221542835235596, 85.528, 88.726, 85.214, 86.744, 21205.874075600004
28, 2.890881061553955, 3.266843318939209, 84.821, 88.573, 85.757, 86.509, 21962.54083850002
29, 2.891584873199463, 3.305459499359131, 85.192, 88.344, 85.129, 86.44, 22719.36796449998
30, 2.8926498889923096, 3.3021762371063232, 85.129, 88.656, 85.377, 86.589, 23474.52630520001
31, 2.8803515434265137, 3.281470537185669, 83.922, 88.938, 85.54, 86.252, 24241.25314659998
32, 2.869809627532959, 3.326117992401123, 83.842, 88.327, 85.324, 85.932, 25003.689824400004
33, 2.8575234413146973, 3.3672709465026855, 83.444, 88.659, 84.703, 85.782, 25764.17263809999
34, 2.838899612426758, 3.262079954147339, 85.59, 89.268, 85.467, 87.037, 26523.50181779999
35, 2.8387503623962402, 3.3067944049835205, 84.825, 88.425, 85.18, 86.336, 27280.4655468
36, 2.845848560333252, 3.2737808227539062, 85.365, 89.119, 85.074, 86.808, 28036.8846625
37, 2.814875364303589, 3.367034435272217, 82.22, 88.303, 85.023, 85.214, 28795.303922699997
38, 2.8142874240875244, 3.3829102516174316, 80.891, 87.619, 84.278, 84.26, 29546.258208999992
39, 2.8331711292266846, 3.3184592723846436, 84.179, 87.947, 85.218, 85.894, 30301.79517310002
40, 2.831541061401367, 3.279254198074341, 84.655, 88.97, 85.168, 86.484, 31055.089122199977
41, 2.8198776245117188, 3.3001716136932373, 83.796, 88.859, 85.095, 86.081, 31812.98790950002
42, 2.8048815727233887, 3.3078017234802246, 83.945, 88.734, 85.034, 86.078, 32572.580623699992
43, 2.8241398334503174, 3.301605224609375, 83.896, 89.025, 85.013, 86.171, 33329.58535359998
44, 2.829317331314087, 3.3443336486816406, 82.466, 88.534, 84.46, 85.292, 34090.836099900014
epoch, train_loss, val_loss, val_sic_r2, val_sod_f1, val_floe_f1, val_combined, time 
0, 5.823276042938232, 4.946342945098877, 28.026, 71.282, 62.016, 52.126, 2368.360558600165
1, 4.89411735534668, 4.2979583740234375, 43.553, 85.313, 66.842, 64.915, 4188.64084560005
2, 4.435128211975098, 4.175782680511475, 53.69, 83.652, 63.489, 67.635, 5989.757150400197
3, 4.215453624725342, 4.145875453948975, 48.602, 86.035, 69.905, 67.836, 7797.881935800193
4, 4.00068473815918, 4.225388050079346, 56.935, 82.951, 67.071, 69.369, 9590.974459000165
5, 3.8627402782440186, 4.135378837585449, 56.059, 83.583, 68.647, 69.586, 11380.33787080017
6, 3.7826569080352783, 4.119205951690674, 57.284, 83.74, 66.474, 69.704, 13182.11107470002
7, 3.691110134124756, 3.94659423828125, 66.083, 89.344, 70.358, 76.242, 14971.664454400074
8, 3.625386953353882, 3.8048388957977295, 66.594, 89.833, 72.078, 76.986, 16770.811721800128
9, 3.546355962753296, 3.8659579753875732, 65.392, 89.54, 72.206, 76.414, 18567.649029300082
10, 3.4596445560455322, 3.8973076343536377, 67.068, 93.447, 72.874, 78.781, 20361.366928000003
11, 3.437711715698242, 3.822486162185669, 61.529, 88.599, 69.823, 74.016, 22170.26351830014
12, 3.3640828132629395, 3.868457794189453, 63.749, 89.914, 70.65, 75.595, 23979.969506800175
13, 3.323977470397949, 3.727196455001831, 62.36, 89.43, 72.322, 75.18, 25774.8464538001
14, 3.296233892440796, 3.7739624977111816, 62.67, 90.31, 71.138, 75.42, 27572.78342240001
15, 3.260592222213745, 3.7315306663513184, 60.302, 89.468, 70.764, 74.061, 29370.926051000133
16, 3.2158124446868896, 3.7032439708709717, 60.67, 90.887, 71.894, 75.002, 31172.05863660015
17, 3.18422794342041, 3.6662826538085938, 61.699, 92.01, 75.016, 76.487, 32964.65315850009
18, 3.15273380279541, 3.605440616607666, 63.434, 92.172, 76.154, 77.473, 34750.19848080003
19, 3.12990140914917, 3.667323350906372, 62.545, 92.235, 73.183, 76.549, 36547.688636000035
20, 3.132615327835083, 3.683152675628662, 65.011, 91.919, 72.753, 77.323, 38338.679405600065
21, 3.0750346183776855, 3.5796680450439453, 68.841, 93.654, 74.833, 79.965, 40150.19549990003
22, 3.0706427097320557, 3.720874071121216, 70.315, 93.004, 70.03, 79.334, 41941.146355400095
23, 3.0598373413085938, 3.611140727996826, 65.61, 91.405, 72.292, 77.264, 43745.668514100136
24, 3.0444273948669434, 3.5847339630126953, 68.842, 91.877, 73.973, 79.082, 45549.44484920008
25, 3.0508077144622803, 3.8303427696228027, 66.391, 89.392, 69.492, 76.212, 47348.700899300165
26, 3.051126480102539, 3.5705904960632324, 69.293, 90.259, 73.455, 78.512, 49140.40640179999
27, 3.041132926940918, 3.692300796508789, 68.121, 90.337, 70.501, 77.483, 50961.112703900086
28, 3.014202833175659, 3.6191344261169434, 71.706, 91.297, 75.573, 80.316, 52754.10757270013
29, 2.9878687858581543, 3.6783111095428467, 64.463, 87.931, 74.909, 75.939, 54562.41230980004
30, 3.0016438961029053, 3.6623148918151855, 72.878, 87.474, 73.825, 78.906, 56347.9975062001
31, 2.995379686355591, 3.6388309001922607, 63.895, 85.849, 73.051, 74.508, 58156.146004400216
32, 2.9804069995880127, 3.6206746101379395, 67.229, 86.786, 74.453, 76.497, 60019.32273730007
33, 2.9655561447143555, 3.535222291946411, 72.268, 89.912, 74.325, 79.737, 61888.01314120018
34, 2.9812817573547363, 3.536850690841675, 74.688, 90.268, 76.062, 81.195, 63683.95978280017
35, 2.9359192848205566, 3.505131483078003, 71.403, 88.455, 75.841, 79.111, 65488.99809670006
36, 2.9547207355499268, 3.50575590133667, 71.523, 90.505, 75.769, 79.965, 67293.3699523001
37, 2.959401845932007, 3.5329346656799316, 69.942, 91.032, 74.908, 79.371, 69089.8301111001
38, 2.9474828243255615, 3.567842483520508, 74.023, 91.813, 74.119, 81.158, 70885.72342700022
39, 2.9561421871185303, 3.565556764602661, 73.772, 90.438, 73.862, 80.456, 72699.36353010009
40, 2.947953224182129, 3.6537814140319824, 73.132, 88.605, 71.532, 79.001, 74506.87150160014
41, 2.9269890785217285, 3.482161283493042, 76.43, 91.486, 76.145, 82.395, 76310.9224105
42, 2.9276413917541504, 3.4755795001983643, 74.281, 92.597, 76.165, 81.984, 78089.74031110015
43, 2.9003660678863525, 3.570720672607422, 72.801, 90.828, 75.69, 80.59, 79896.48133780016
44, 2.95583438873291, 3.4830260276794434, 72.137, 90.019, 74.896, 79.842, 81688.97693070001
45, 2.915907382965088, 3.5829429626464844, 69.384, 88.357, 73.124, 77.721, 83519.24971470004
46, 2.9305005073547363, 3.4860217571258545, 69.436, 89.507, 75.068, 78.591, 85310.28291120008
47, 2.938626289367676, 3.51444673538208, 72.259, 89.85, 75.152, 79.874, 87125.33081610012
48, 2.927926778793335, 3.4864819049835205, 73.382, 91.138, 74.942, 80.796, 88924.30314760003
49, 2.918548583984375, 3.6024672985076904, 73.868, 89.644, 73.378, 80.08, 90713.36289740005
50, 2.8834598064422607, 3.434657335281372, 74.054, 90.525, 76.557, 81.143, 92501.90018060012
51, 2.920931339263916, 3.4374022483825684, 71.464, 89.981, 76.348, 79.848, 94321.60607060022
52, 2.91615629196167, 3.565242290496826, 73.349, 89.722, 75.423, 80.313, 96124.13499200018
epoch, train_loss, val_loss, val_sic_r2, val_sod_f1, val_floe_f1, val_combined, time 
0, 5.336569786071777, 4.1368560791015625, 62.746, 73.789, 69.016, 68.417, 1888.7232373999432
1, 4.4425859451293945, 4.019405841827393, 65.66, 75.811, 70.917, 70.772, 3764.249216499971
2, 4.160626411437988, 3.8500590324401855, 72.432, 76.993, 71.363, 74.043, 5610.562864299864
3, 3.9946954250335693, 3.7577080726623535, 72.656, 86.068, 72.238, 77.937, 7489.84091769997
4, 3.8363239765167236, 3.714489459991455, 79.554, 90.476, 71.958, 82.404, 9353.400861999951
5, 3.7265243530273438, 3.611327648162842, 81.273, 92.422, 71.937, 83.865, 11208.64522779989
6, 3.657582998275757, 3.6402103900909424, 82.334, 92.823, 71.476, 84.358, 13071.620532599976
7, 3.575502395629883, 3.6333320140838623, 82.286, 92.748, 70.074, 84.028, 14929.727803699905
8, 3.5199801921844482, 3.588193893432617, 81.763, 92.463, 70.535, 83.797, 16788.112679399783
9, 3.4457173347473145, 3.5604653358459473, 83.303, 93.22, 75.705, 85.75, 18645.76069649984
10, 3.3737244606018066, 3.5071499347686768, 85.225, 93.144, 75.132, 86.374, 20498.93812639988
11, 3.3378450870513916, 3.461505174636841, 80.927, 92.199, 74.398, 84.13, 22435.310858499957
12, 3.2843306064605713, 3.5198497772216797, 85.202, 91.941, 74.553, 85.768, 24372.56811679993
13, 3.247762680053711, 3.47407603263855, 84.972, 91.756, 75.78, 85.847, 26228.830387899885
14, 3.2039425373077393, 3.4657859802246094, 85.636, 90.776, 75.708, 85.706, 28088.388636499876
15, 3.168710231781006, 3.383044481277466, 85.798, 90.404, 75.586, 85.598, 29978.436441699974
16, 3.113858938217163, 3.2955737113952637, 86.683, 92.534, 77.402, 87.167, 31899.818002199987
17, 3.077080726623535, 3.3269946575164795, 85.289, 92.982, 76.684, 86.645, 33820.03836089978
18, 3.048933506011963, 3.3093504905700684, 85.577, 93.036, 77.952, 87.036, 35683.79097449989
19, 3.0240070819854736, 3.4312262535095215, 85.047, 92.147, 74.613, 85.8, 37542.47982469993
20, 3.026599645614624, 3.4337165355682373, 86.754, 92.835, 76.275, 87.091, 39393.32846649992
21, 2.9790737628936768, 3.3522727489471436, 87.059, 92.633, 78.759, 87.629, 41270.94672379992
22, 2.9840567111968994, 3.3496201038360596, 85.704, 92.683, 75.629, 86.481, 43133.18718539993
23, 2.9755873680114746, 3.348846435546875, 86.536, 92.788, 77.112, 87.152, 45003.954030999914
24, 2.962557077407837, 3.3247711658477783, 87.027, 92.582, 77.754, 87.394, 46864.925638899906
25, 2.96138858795166, 3.416818618774414, 86.125, 92.774, 76.088, 86.777, 48743.77504319977
26, 2.9647951126098633, 3.285778522491455, 85.96, 92.215, 76.773, 86.625, 50613.61016789987
27, 2.961270570755005, 3.4138495922088623, 86.61, 92.299, 75.698, 86.703, 52493.99005699996
28, 2.9421396255493164, 3.4346752166748047, 86.016, 92.605, 78.17, 87.082, 54356.59340969985
29, 2.9303839206695557, 3.44415545463562, 85.751, 92.381, 77.641, 86.781, 56253.53262899979
30, 2.9380695819854736, 3.374201536178589, 85.92, 92.606, 77.052, 86.821, 58122.72650179989
31, 2.9324469566345215, 3.3290793895721436, 85.635, 92.173, 76.728, 86.469, 59998.54911209992
32, 2.9236104488372803, 3.3564586639404297, 86.576, 92.186, 76.723, 86.849, 61878.69469379983
33, 2.9260976314544678, 3.3394999504089355, 86.631, 92.162, 76.263, 86.77, 63758.117140999995
34, 2.928800344467163, 3.3466358184814453, 85.857, 92.279, 77.106, 86.676, 65633.9188659999
35, 2.8970189094543457, 3.330963134765625, 86.32, 92.057, 76.566, 86.664, 67514.75574109983
36, 2.915039300918579, 3.382448673248291, 86.853, 92.216, 76.632, 86.954, 69389.48965679994
